# HR	designation	proper name
# designations from the Yale BSC5 (bytes 5-14); proper names are a
# curated subset -- a blank third column just means no common name
# is carried here, the designation is still authoritative.
2568	Psi Aur	
2569	37 Gem	
2571	15 CMa	
2574	The CMa	
2580	Omi CMa	
2585	16 Lyn	
2588	17 CMa	
2590	Pi CMa	
2593	Mu CMa	
2596	Iot CMa	
2600	62 Aur	
2601	39 Gem	
2602	Iot Vol	
2605	40 Gem	
2615	41 Gem	
2618	Eps CMa	Adhara
2630	Ome Gem	
2646	Sig CMa	
2648	19 Mon	
2650	Zet Gem	
2653	Omi CMa	
2657	Gam CMa	
2659	44 Gem	
2684	45 Gem	
2689	The Men	
2693	Del CMa	Wezen
2696	63 Aur	
2697	Tau Gem	
2700	47 Gem	
2701	20 Mon	
2706	48 Gem	
2707	21 Mon	
2714	Del Mon	
2715	18 Lyn	
2717	51 Gem	
2718	26 CMa	
2725	52 Gem	
2735	Gam Vol	
2736	Gam Vol	
2738	53 Gem	
2744	24 Mon	
2745	27 CMa	
2749	Ome CMa	
2753	64 Aur	
2763	Lam Gem	
2772	47 Cam	
2773	Pi Pup	
2777	Del Gem	
2781	29 CMa	
2782	Tau CMa	
2783	19 Lyn	
2784	19 Lyn	
2793	65 Aur	
2795	56 Gem	
2803	Del Vol	
2805	66 Aur	
2808	57 Gem	
2810	58 Gem	
2816	59 Gem	
2818	21 Lyn	
2820	1 CMi	
2821	Iot Gem	
2827	Eta CMa	
2828	Eps CMi	
2837	61 Gem	
2845	Bet CMi	
2846	63 Gem	
2849	22 Lyn	
2851	Eta CMi	
2852	Rho Gem	
2854	Gam CMi	
2857	64 Gem	
2861	65 Gem	
2864	6 CMi	
2878	Sig Pup	
2880	Del CMi	
2886	68 Gem	
2887	Del CMi	
2890	Alp Gem	Castor
2891	Alp Gem	Castor
2901	Del CMi	
2905	Ups Gem	
2919	Eps Men	
2924	70 Gem	
2927	25 Mon	
2929	23 Lyn	
2930	Omi Gem	
2938	74 Gem	
2943	Alp CMi	Procyon
2946	24 Lyn	
2970	Alp Mon	
2973	Sig Gem	
2975	51 Cam	
2977	49 Cam	
2983	76 Gem	
2985	Kap Gem	
2990	Bet Gem	Pollux
2991	79 Gem	
2993	1 Pup	
2996	3 Pup	
3003	81 Gem	
3008	11 CMi	
3009	2 Pup	
3010	2 Pup	
3013	Pi Gem	
3015	4 Pup	
3021	82 Gem	
3024	Zet Vol	
3029	5 Pup	
3034	Omi Pup	
3044	6 Pup	
3045	Xi Pup	
3059	Zet CMi	
3063	8 Pup	
3064	9 Pup	
3065	25 Lyn	
3066	26 Lyn	
3067	Phi Gem	
3073	10 Pup	
3086	85 Gem	
3095	1 Cnc	
3102	11 Pup	
3109	53 Cam	
3110	14 CMi	
3117	Chi Car	
3122	27 Mon	
3123	12 Pup	
3124	Ome Cnc	
3128	3 Cnc	
3132	Ome Cnc	
3134	5 Cnc	
3141	28 Mon	
3149	Chi Gem	
3163	8 Cnc	
3165	Zet Pup	Naos
3167	28 Lyn	
3168	14 Pup	
3169	Mu Cnc	
3173	27 Lyn	
3176	Mu Cnc	
3184	12 Cnc	
3185	Rho Pup	
3188	Zet Mon	
3191	Psi Cnc	
3192	16 Pup	
3202	18 Pup	
3206	Gam Vel	
3207	Gam Vel	
3208	Zet Cnc	
3209	Zet Cnc	
3210	Zet Cnc	
3211	19 Pup	
3215	15 Cnc	
3223	Eps Vol	
3229	20 Pup	
3235	29 Lyn	
3249	Bet Cnc	
3254	30 Lyn	
3257	21 Pup	
3262	Chi Cnc	
3268	Lam Cnc	
3275	31 Lyn	
3284	20 Cnc	
3289	22 Pup	
3290	21 Cnc	
3297	1 Hya	
3299	25 Cnc	
3301	Kap Vol	
3302	Kap Vol	
3304	Phi Cnc	
3307	Eps Car	Avior
3310	Phi Cnc	
3311	Phi Cnc	
3312	24 Cnc	
3313	24 Cnc	
3318	Alp Cha	
3319	27 Cnc	
3321	2 Hya	
3323	Omi UMa	
3329	28 Cnc	
3333	29 Cnc	
3334	Eta Vol	
3340	The Cha	
3347	Bet Vol	
3354	2 UMa	
3355	Ups Cnc	
3357	The Cnc	
3365	32 Lyn	
3366	Eta Cnc	
3369	Ups Cnc	
3372	34 Cnc	
3377	33 Lyn	
3387	35 Cnc	
3391	Pi UMa	
3398	3 Hya	
3403	Pi UMa	
3406	36 Cnc	
3410	Del Hya	
3412	37 Cnc	
3418	Sig Hya	
3420	Eta Pyx	
3422	34 Lyn	
3427	39 Cnc	
3429	Eps Cnc	
3431	6 Hya	
3433	Zet Pyx	
3438	Bet Pyx	
3441	9 Hya	
3449	Gam Cnc	
3450	45 Cnc	
3454	Eta Hya	
3460	The Vol	
3461	Del Cnc	
3464	46 Cnc	
3465	49 Cnc	
3468	Alp Pyx	
3469	10 Hya	
3474	Iot Cnc	
3475	Iot Cnc	
3481	50 Cnc	
3482	Eps Hya	
3484	12 Hya	
3485	Del Vel	Alsephina
3492	Rho Hya	
3500	14 Hya	
3502	Eta Cha	
3505	5 UMa	
3508	35 Lyn	
3510	54 Cnc	
3518	Gam Pyx	
3519	Sig Cnc	
3521	53 Cnc	
3522	Rho Cnc	
3523	15 Hya	
3531	6 UMa	
3532	57 Cnc	
3540	Rho Cnc	
3547	Zet Hya	
3550	60 Cnc	
3552	17 Hya	
3553	17 Hya	
3555	Sig Cnc	
3556	Del Pyx	
3561	Omi Cnc	
3563	61 Cnc	
3565	Omi Cnc	
3569	Iot UMa	
3572	Alp Cnc	
3575	Sig Cnc	
3576	Rho UMa	
3587	66 Cnc	
3589	67 Cnc	
3594	Kap UMa	
3595	Nu Cnc	
3601	70 Cnc	
3609	Sig UMa	
3613	Ome Hya	
3615	Alp Vol	
3616	Sig UMa	
3619	15 UMa	
3621	Tau Cnc	
3623	Kap Cnc	
3624	Tau UMa	
3626	75 Cnc	
3627	Xi Cnc	
3628	Kap Pyx	
3630	19 Hya	
3634	Lam Vel	
3640	79 Cnc	
3641	20 Hya	
3644	Eps Pyx	
3648	16 UMa	
3650	Pi Cnc	
3652	36 Lyn	
3655	21 Hya	
3660	17 UMa	
3662	18 UMa	
3665	The Hya	
3669	Pi Cnc	
3671	C 2 08	
3678	Zet Oct	
3681	23 Hya	
3683	24 Hya	
3685	Bet Car	Miaplacidus
3690	38 Lyn	
3699	Iot Car	
3705	Alp Lyn	
3706	26 Hya	
3709	27 Hya	
3718	The Pyx	
3731	Kap Leo	
3733	Lam Pyx	
3734	Kap Vel	
3738	28 Hya	
3744	29 Hya	
3748	Alp Hya	Alphard
3754	Ome Leo	
3755	3 Leo	
3757	23 UMa	
3759	Tau Hya	
3764	7 LMi	
3765	Eps Ant	
3768	22 UMa	
3769	8 LMi	
3771	24 UMa	
3773	Lam Leo	
3775	The UMa	
3779	6 Leo	
3780	Zet Ant	
3781	Zet Ant	
3782	Xi Leo	
3786	Psi Vel	
3787	Tau Hya	
3789	Zet Ant	
3791	9 LMi	
3795	Iot Cha	
3799	26 UMa	
3800	10 LMi	
3814	33 Hya	
3815	11 LMi	
3818	7 Leo	
3826	8 Leo	
3827	10 Leo	
3829	42 Lyn	
3832	34 Hya	
3839	27 UMa	
3845	Iot Hya	
3846	37 Hya	
3849	Kap Hya	
3851	43 Lyn	
3852	Omi Leo	
3853	13 Leo	
3857	13 LMi	
3860	Zet Cha	
3861	15 Leo	
3865	28 UMa	
3866	Psi Leo	
3871	The Ant	
3873	Eps Leo	
3877	18 Leo	
3880	19 Leo	
3888	Ups UMa	
3889	20 Leo	
3890	Ups Car	
3891	Ups Car	
3893	4 Sex	
3894	Phi UMa	
3896	23 Leo	
3899	6 Sex	
3900	22 Leo	
